Time (year),co2emit (PgC a-1)
1850.5,0.21408435702323914
1851.5,0.2534448206424713
1852.5,0.3056650459766388
1853.5,0.36720898747444153
1854.5,0.4394263029098511
1855.5,0.5237981677055359
1856.5,0.6219380497932434
1857.5,0.7355893850326538
1858.5,0.8666205406188965
1859.5,1.017015814781189
1860.5,1.1888624429702759
1861.5,1.3843334913253784
1862.5,1.6056653261184692
1863.5,1.855130672454834
1864.5,2.1350064277648926
1865.5,2.447535991668701
1866.5,2.794886350631714
1867.5,3.1791017055511475
1868.5,3.602051258087158
1869.5,4.065374374389648
1870.5,4.570423126220703
1871.5,5.118202209472656
1872.5,5.709310531616211
1873.5,6.343882083892822
1874.5,7.021529674530029
1875.5,7.741293430328369
1876.5,8.50159740447998
1877.5,9.300209045410156
1878.5,10.134215354919434
1879.5,11.000000953674316
1880.5,11.893248558044434
1881.5,12.808947563171387
1882.5,13.74142074584961
1883.5,14.684358596801758
1884.5,15.630882263183594
1885.5,16.5736141204834
1886.5,17.5047607421875
1887.5,18.416210174560547
1888.5,19.29965591430664
1889.5,20.14670753479004
1890.5,20.94902229309082
1891.5,21.69844627380371
1892.5,22.38714599609375
1893.5,23.007740020751953
1894.5,23.55344581604004
1895.5,24.018178939819336
1896.5,24.396690368652344
1897.5,24.684648513793945
1898.5,24.878726959228516
1899.5,24.97667121887207
1900.5,24.977338790893555
1901.5,24.880722045898438
1902.5,24.687946319580078
1903.5,24.40125274658203
1904.5,24.023954391479492
1905.5,23.560367584228516
1906.5,23.01573371887207
1907.5,22.396120071411133
1908.5,21.708303451538086
1909.5,20.959659576416016
1910.5,20.15801429748535
1911.5,19.311519622802734
1912.5,18.428516387939453
1913.5,17.517393112182617
1914.5,16.586462020874023
1915.5,15.643835067749023
1916.5,14.697312355041504
1917.5,13.754278182983398
1918.5,12.82161808013916
1919.5,11.90565013885498
1920.5,11.012060165405273
1921.5,10.145867347717285
1922.5,9.311400413513184
1923.5,8.512282371520996
1924.5,7.751438140869141
1925.5,7.031106948852539
1926.5,6.352875232696533
1927.5,5.717710018157959
1928.5,5.126006126403809
1929.5,4.57763671875
1930.5,4.072009086608887
1931.5,3.6081228256225586
1932.5,3.184630870819092
1933.5,2.7998971939086914
1934.5,2.4520552158355713
1935.5,2.1390633583068848
1936.5,1.858755350112915
1937.5,1.6088886260986328
1938.5,1.3871867656707764
1939.5,1.1913766860961914
1940.5,1.019221305847168
1941.5,0.8685464262962341
1942.5,0.7372636198997498
1943.5,0.6233870387077332
1944.5,0.5250466465950012
1945.5,0.4404973089694977
1946.5,0.36812373995780945
1947.5,0.30644291639328003
1948.5,0.2541034519672394
1949.5,0.18900461494922638
1950.5,0.026810992509126663
1951.5,0.0
1952.5,0.0
1953.5,0.0
1954.5,0.0
1955.5,0.0
1956.5,0.0
1957.5,0.0
1958.5,0.0
1959.5,0.0
1960.5,0.0
1961.5,0.0
1962.5,0.0
1963.5,0.0
1964.5,0.0
1965.5,0.0
1966.5,0.0
1967.5,0.0
1968.5,0.0
1969.5,0.0
1970.5,0.0
1971.5,0.0
1972.5,0.0
1973.5,0.0
1974.5,0.0
1975.5,0.0
1976.5,0.0
1977.5,0.0
1978.5,0.0
1979.5,0.0
1980.5,0.0
1981.5,0.0
1982.5,0.0
1983.5,0.0
1984.5,0.0
1985.5,0.0
1986.5,0.0
1987.5,0.0
1988.5,0.0
1989.5,0.0
1990.5,0.0
1991.5,0.0
1992.5,0.0
1993.5,0.0
1994.5,0.0
1995.5,0.0
1996.5,0.0
1997.5,0.0
1998.5,0.0
1999.5,0.0
2000.5,0.0
2001.5,0.0
2002.5,0.0
2003.5,0.0
2004.5,0.0
2005.5,0.0
2006.5,0.0
2007.5,0.0
2008.5,0.0
2009.5,0.0
2010.5,0.0
2011.5,0.0
2012.5,0.0
2013.5,0.0
2014.5,0.0
2015.5,0.0
2016.5,0.0
2017.5,0.0
2018.5,0.0
2019.5,0.0
2020.5,0.0
2021.5,0.0
2022.5,0.0
2023.5,0.0
2024.5,0.0
2025.5,0.0
2026.5,0.0
2027.5,0.0
2028.5,0.0
2029.5,0.0
2030.5,0.0
2031.5,0.0
2032.5,0.0
2033.5,0.0
2034.5,0.0
2035.5,0.0
2036.5,0.0
2037.5,0.0
2038.5,0.0
2039.5,0.0
2040.5,0.0
2041.5,0.0
2042.5,0.0
2043.5,0.0
2044.5,0.0
2045.5,0.0
2046.5,0.0
2047.5,0.0
2048.5,0.0
2049.5,0.0
2050.5,0.0
2051.5,0.0
2052.5,0.0
2053.5,0.0
2054.5,0.0
2055.5,0.0
2056.5,0.0
2057.5,0.0
2058.5,0.0
2059.5,0.0
2060.5,0.0
2061.5,0.0
2062.5,0.0
2063.5,0.0
2064.5,0.0
2065.5,0.0
2066.5,0.0
2067.5,0.0
2068.5,0.0
2069.5,0.0
2070.5,0.0
2071.5,0.0
2072.5,0.0
2073.5,0.0
2074.5,0.0
2075.5,0.0
2076.5,0.0
2077.5,0.0
2078.5,0.0
2079.5,0.0
2080.5,0.0
2081.5,0.0
2082.5,0.0
2083.5,0.0
2084.5,0.0
2085.5,0.0
2086.5,0.0
2087.5,0.0
2088.5,0.0
2089.5,0.0
2090.5,0.0
2091.5,0.0
2092.5,0.0
2093.5,0.0
2094.5,0.0
2095.5,0.0
2096.5,0.0
2097.5,0.0
2098.5,0.0
2099.5,0.0
2100.5,0.0
2101.5,0.0
2102.5,0.0
2103.5,0.0
2104.5,0.0
2105.5,0.0
2106.5,0.0
2107.5,0.0
2108.5,0.0
2109.5,0.0
2110.5,0.0
2111.5,0.0
2112.5,0.0
2113.5,0.0
2114.5,0.0
2115.5,0.0
2116.5,0.0
2117.5,0.0
2118.5,0.0
2119.5,0.0
2120.5,0.0
2121.5,0.0
2122.5,0.0
2123.5,0.0
2124.5,0.0
2125.5,0.0
2126.5,0.0
2127.5,0.0
2128.5,0.0
2129.5,0.0
2130.5,0.0
2131.5,0.0
2132.5,0.0
2133.5,0.0
2134.5,0.0
2135.5,0.0
2136.5,0.0
2137.5,0.0
2138.5,0.0
2139.5,0.0
2140.5,0.0
2141.5,0.0
2142.5,0.0
2143.5,0.0
2144.5,0.0
2145.5,0.0
2146.5,0.0
2147.5,0.0
2148.5,0.0
2149.5,0.0
2150.5,0.0
2151.5,0.0
2152.5,0.0
2153.5,0.0
2154.5,0.0
2155.5,0.0
2156.5,0.0
2157.5,0.0
2158.5,0.0
2159.5,0.0
2160.5,0.0
2161.5,0.0
2162.5,0.0
2163.5,0.0
2164.5,0.0
2165.5,0.0
2166.5,0.0
2167.5,0.0
2168.5,0.0
2169.5,0.0
2170.5,0.0
2171.5,0.0
2172.5,0.0
2173.5,0.0
2174.5,0.0
2175.5,0.0
2176.5,0.0
2177.5,0.0
2178.5,0.0
2179.5,0.0
2180.5,0.0
2181.5,0.0
2182.5,0.0
2183.5,0.0
2184.5,0.0
2185.5,0.0
2186.5,0.0
2187.5,0.0
2188.5,0.0
2189.5,0.0
2190.5,0.0
2191.5,0.0
2192.5,0.0
2193.5,0.0
2194.5,0.0
2195.5,0.0
2196.5,0.0
2197.5,0.0
2198.5,0.0
2199.5,0.0
2200.5,0.0
2201.5,0.0
2202.5,0.0
2203.5,0.0
2204.5,0.0
2205.5,0.0
2206.5,0.0
2207.5,0.0
2208.5,0.0
2209.5,0.0
2210.5,0.0
2211.5,0.0
2212.5,0.0
2213.5,0.0
2214.5,0.0
2215.5,0.0
2216.5,0.0
2217.5,0.0
2218.5,0.0
2219.5,0.0
2220.5,0.0
